"STATENAME","COUNTYNAME","GEOID","MEDHHINCOME"
"Alabama","Autauga County","01001",57982
"Alabama","Baldwin County","01003",61756
"Alabama","Barbour County","01005",34990
"Alabama","Bibb County","01007",51721
"Alabama","Blount County","01009",48922
"Alabama","Bullock County","01011",33866
"Alabama","Butler County","01013",44850
"Alabama","Calhoun County","01015",50128
"Alabama","Chambers County","01017",43875
"Alabama","Cherokee County","01019",42509
"Alabama","Chilton County","01021",52141
"Alabama","Choctaw County","01023",36634
"Alabama","Clarke County","01025",37345
"Alabama","Clay County","01027",42678
"Alabama","Cleburne County","01029",46320
"Alabama","Coffee County","01031",56799
"Alabama","Colbert County","01033",47962
"Alabama","Conecuh County","01035",35444
"Alabama","Coosa County","01037",43571
"Alabama","Covington County","01039",42566
"Alabama","Crenshaw County","01041",42611
"Alabama","Cullman County","01043",48388
"Alabama","Dale County","01045",45644
"Alabama","Dallas County","01047",33317
"Alabama","DeKalb County","01049",42267
"Alabama","Elmore County","01051",62324
"Alabama","Escambia County","01053",35558
"Alabama","Etowah County","01055",44934
"Alabama","Fayette County","01057",41469
"Alabama","Franklin County","01059",41174
"Alabama","Geneva County","01061",41569
"Alabama","Greene County","01063",26688
"Alabama","Hale County","01065",30793
"Alabama","Henry County","01067",51715
"Alabama","Houston County","01069",49069
"Alabama","Jackson County","01071",42578
"Alabama","Jefferson County","01073",55088
"Alabama","Lamar County","01075",42688
"Alabama","Lauderdale County","01077",48428
"Alabama","Lawrence County","01079",47125
"Alabama","Lee County","01081",52930
"Alabama","Limestone County","01083",64270
"Alabama","Lowndes County","01085",33634
"Alabama","Macon County","01087",35450
"Alabama","Madison County","01089",66887
"Alabama","Marengo County","01091",33029
"Alabama","Marion County","01093",40978
"Alabama","Marshall County","01095",50216
"Alabama","Mobile County","01097",49625
"Alabama","Monroe County","01099",31969
"Alabama","Montgomery County","01101",51963
"Alabama","Morgan County","01103",52923
"Alabama","Perry County","01105",23875
"Alabama","Pickens County","01107",40362
"Alabama","Pike County","01109",39218
"Alabama","Randolph County","01111",45141
"Alabama","Russell County","01113",42208
"Alabama","Shelby County","01117",78889
"Alabama","St. Clair County","01115",62531
"Alabama","Sumter County","01119",26150
"Alabama","Talladega County","01121",43969
"Alabama","Tallapoosa County","01123",48160
"Alabama","Tuscaloosa County","01125",54283
"Alabama","Walker County","01127",45833
"Alabama","Washington County","01129",42331
"Alabama","Wilcox County","01131",35063
"Alabama","Winston County","01133",40991
"Alaska","Aleutians East Borough","02013",75833
"Alaska","Aleutians West Census Area","02016",87443
"Alaska","Anchorage Municipality","02020",84813
"Alaska","Bethel Census Area","02050",54400
"Alaska","Bristol Bay Borough","02060",79808
"Alaska","Chugach Census Area","02063",90776
"Alaska","Copper River Census Area","02066",64745
"Alaska","Denali Borough","02068",76364
"Alaska","Dillingham Census Area","02070",57436
"Alaska","Fairbanks North Star Borough","02090",76464
"Alaska","Haines Borough","02100",65014
"Alaska","Hoonah-Angoon Census Area","02105",59926
"Alaska","Juneau City and Borough","02110",88077
"Alaska","Kenai Peninsula Borough","02122",69245
"Alaska","Ketchikan Gateway Borough","02130",74678
"Alaska","Kodiak Island Borough","02150",79173
"Alaska","Kusilvak Census Area","02158",37358
"Alaska","Lake and Peninsula Borough","02164",48750
"Alaska","Matanuska-Susitna Borough","02170",76118
"Alaska","Nome Census Area","02180",62843
"Alaska","North Slope Borough","02185",79083
"Alaska","Northwest Arctic Borough","02188",63750
"Alaska","Petersburg Borough","02195",68667
"Alaska","Prince of Wales-Hyder Census Area","02198",54018
"Alaska","Sitka City and Borough","02220",81708
"Alaska","Skagway Municipality","02230",71875
"Alaska","Southeast Fairbanks Census Area","02240",66941
"Alaska","Wrangell City and Borough","02275",58438
"Alaska","Yakutat City and Borough","02282",59517
"Alaska","Yukon-Koyukuk Census Area","02290",41728
"Arizona","Apache County","04001",33967
"Arizona","Cochise County","04003",51505
"Arizona","Coconino County","04005",59000
"Arizona","Gila County","04007",46907
"Arizona","Graham County","04009",55693
"Arizona","Greenlee County","04011",66368
"Arizona","La Paz County","04012",34956
"Arizona","Maricopa County","04013",67799
"Arizona","Mohave County","04015",47686
"Arizona","Navajo County","04017",43140
"Arizona","Pima County","04019",55023
